name,localName,sku,barcode,brand,category,subcategory,unit,purchasePrice,costPrice,retailPrice,wholesalePrice,openingStock,stockAlertQty,commissionPct,status,condition,description
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - FIZZY STRAWBERRY,,VAP-KIT-IVG -848,,IVG PRO,VAPES,PREFILLED VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - STRAWBERRY RASPBERRY CHERRY,,VAP-KIT-IVG -863,,IVG PRO,VAPES,PREFILLED VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - KIWI PASSIONFRUIT GUAVA,,VAP-KIT-IVG -853,,IVG PRO,VAPES,PREFILLED VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - PINK LEMONADE,,VAP-KIT-IVG -857,,IVG PRO,VAPES,PREFILLED VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
20MG IVG PRO 12 REFILL POD PACK 10000 PUFFS - BLUE RASPBERRY ICE,,VAP-REFIL-IVG -875,,IVG PRO,VAPES,REFILL,Pieces,3.88,3.88,7.76,,0.0,,,Active,New,
20MG IVG PRO 12 REFILL POD PACK 10000 PUFFS - CLASSIC MENTHOL,,VAP-REFIL-IVG -877,,IVG PRO,VAPES,REFILL,Pieces,3.88,3.88,7.76,,1.0,,,Active,New,
20MG IVG PRO 12 REFILL POD PACK 10000 PUFFS - PINEAPPLE ICE,,VAP-REFIL-IVG -878,,IVG PRO,VAPES,REFILL,Pieces,3.88,3.88,7.76,,2.0,,,Active,New,
20MG IVG PRO 12 REFILL POD PACK 10000 PUFFS - BLUE SOUR RASPBERRY,,VAP-REFIL-IVG -876,,IVG PRO,VAPES,REFILL,Pieces,3.88,3.88,7.76,,0.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - FRESH MENTHOL MOJITO,,VAP-KIT-IVG -849,,IVG PRO,VAPES,PREFILLED VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
10MG IVG INTENSE 10ML NIC SALT (50VG/50PG) - FOREST BERRIES ICE,,VAP-SALT-IVG -880,,IVG PRO,VAPES,NIC SALT,Pieces,1.90,1.90,3.80,,4.0,,,Active,New,
10MG IVG INTENSE 10ML NIC SALT (50VG/50PG) - BANANA ICE,,VAP-SALT-IVG -879,,IVG PRO,VAPES,NIC SALT,Pieces,1.90,1.90,3.80,,5.0,,,Active,New,
10MG IVG INTENSE 10ML NIC SALT (50VG/50PG) - PINEAPPLE ICE,,VAP-SALT-IVG -881,,IVG PRO,VAPES,NIC SALT,Pieces,1.90,1.90,3.80,,5.0,,,Active,New,
10MG IVG INTENSE 10ML NIC SALT (50VG/50PG) - STRAWBERRY ICE,,VAP-SALT-IVG -882,,IVG PRO,VAPES,NIC SALT,Pieces,1.90,1.90,3.80,,5.0,,,Active,New,
10MG IVG INTENSE 10ML NIC SALT (50VG/50PG) - TRIPLE MANGO,,VAP-SALT-IVG -883,,IVG PRO,VAPES,NIC SALT,Pieces,1.90,1.90,3.80,,5.0,,,Active,New,
10MG IVG INTENSE 10ML NIC SALT (50VG/50PG) - WATERMELON ICE,,VAP-SALT-IVG -884,,IVG PRO,VAPES,NIC SALT,Pieces,1.90,1.90,3.80,,5.0,,,Active,New,
